id,corridor_id,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,payment instrument,access point,speed actual,receiving network coverage,pickup method,date,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,Standard Note,note2,regulatory_risk_score,fx_volatility,aml_risk_index,correspondent_network_depth,transfer_time_estimate_days,composite_cost_score,political_stability_index,regulatory_quality_score,rule_of_law_index,government_effectiveness,financial_system_development,banking_sector_stability,payment_system_efficiency,aml_effectiveness_score,tax_transparency_score,reporting_requirements_index,currency_convertibility_score,capital_mobility_index,treaty_network_density,financial_sanctions_risk,dispute_resolution_mechanism,bilateral_tax_treaty_strength,double_taxation_avoidance,information_exchange_agreement,jurisdictional_hops_count,regulatory_domain_changes,currency_conversions_count,withholding_tax_rate,financial_transaction_tax,compliance_documentation_cost,settlement_risk_index
880,CHE-SGP,CHE,Switzerland,Europe,High income,High,No,SGP,Singapore,East Asia & Pacific,High income,High,No,Mobile Wallet,Bank Branch,1-2 days,High,Agent,2023-02-05,3304,42.3,KES,26.11,79.6986,0.0099,0.0178,3333,59.43,KES,53.45,3.2998,0.0126,0.0286,0.0084,Opaque,Standard corridor - no special restrictions,,0.091,0.076,0.621,2,1,0.1656,0.7437062760421057,0.8695966605240333,0.8303841645485787,0.6667217981582534,0.7312408854986477,0.7200033567963743,0.8266374717137386,0.724781327497095,0.6359789445516246,0.7823524432875892,1.0,0.7594341445797819,0.697978581455576,0.0828406115610758,0.7329420449915847,0.8302757378061819,0,0,2,0,3,0.239,0.0192,128.16,0.3926071928137701
881,NGA-USA,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,USA,United States,North America,High income,High,G8G20,Card Transfer,Mobile App,1-2 days,Medium,Mobile Wallet,2025-01-22,3403,106.66,ZAR,39.34,48.1764,0.0129,0.0245,3237,82.27,GBP,18.64,54.9354,0.0108,0.0166,0.015,Transparent,Correspondent path uses two intermediaries,,0.428,0.113,0.37,6,1,0.1802,0.2637748751865151,0.6198543529092762,0.3913729967110753,0.3055972461107946,0.379356996063687,0.3683440296750358,0.6047299599498648,0.1977498790878459,0.2698469995448594,0.2826007331689488,0.4681174439891674,0.3874668368823846,0.1710526602331444,0.5979787220314561,0.3880539180178037,0.274628259790426,0,0,1,1,2,0.184,0.0118,12.18,0.9532318911048345
882,IND-MAR,IND,India,South Asia,Lower middle income,High,No,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,Cash Pickup,Bank Branch,1-2 days,High,Mobile Wallet,2022-06-25,3171,44.64,USD,62.34,34.439,0.0099,0.0296,3072,61.27,INR,62.79,3.9239,0.0241,0.0445,0.0168,Opaque,Standard corridor - no special restrictions,,0.417,0.094,0.796,6,1,0.2796,0.4324130586857198,0.5103290114504376,0.3405935960324728,0.4076649904220875,0.1906732803180874,0.3794676673405802,0.5605786030109494,0.2991876100184866,0.2615285988329646,0.6233226711237116,0.6882892628234966,0.4761089894978588,0.4866692733776057,0.8171122501549694,0.3054938271245552,0.2936050552192218,0,1,2,2,3,0.165,0.0164,133.94,0.5862957472495616
883,NOR-CAN,NOR,Norway,Europe,High income,High,No,CAN,Canada,North America,High income,High,G8G20,Bank Transfer,Mobile App,3-7 days,High,ATM,2025-03-23,1390,887.79,USD,16.9,71.7666,0.0108,0.023,1353,65.96,EUR,17.49,39.9271,0.0087,0.0216,0.016,Transparent,Correspondent path uses two intermediaries,,0.063,0.039,0.425,7,3,0.1199,0.7216823881359664,0.7412067174831245,0.4439968450180384,0.8263229542450272,0.9152384953936727,1.0,0.7454028882270044,0.6455804210664118,0.4284018616842637,0.7147719796090937,0.9781334137274604,0.7465878565368738,1.0,0.1807913802947428,0.8176390741146267,0.5864276303302087,0,0,3,2,1,0.204,0.0165,101.49,0.19126726689781334
884,IDN-DEU,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,DEU,Germany,Europe,High income,High,G8G20,Mobile Wallet,Mobile App,2-5 days,High,Home Delivery,2022-04-08,5567,111.31,CNY,59.14,17.043,0.009,0.0196,5808,284.42,NGN,42.71,27.3529,0.0179,0.0253,0.0176,Opaque,Requires documentation for large amounts,,0.225,0.1,0.727,2,1,0.2128,0.3844664414210335,0.1624816246176765,0.4332437546015774,0.4669313811482495,0.6131149709203811,0.3076037537478773,0.4592674541956902,0.4176579871263804,0.4030737965996371,0.2461640869838178,0.1829621732532631,0.4616352356261377,0.3317000386028096,0.6180004711553728,0.4916734436458559,0.344609655421468,1,1,4,0,3,0.032,0.0013,94.43,0.7752993052482886
885,CHE-PHL,CHE,Switzerland,Europe,High income,High,No,PHL,Philippines,East Asia & Pacific,Lower middle income,Medium,No,Cash Pickup,Agent Network,2-5 days,Very High,Agent,2021-05-04,4267,340.19,GBP,95.77,34.3498,0.001,0.0234,4191,76.1,USD,83.6,18.7407,0.014,0.0339,0.0111,Transparent,Requires documentation for large amounts,,0.651,0.105,0.544,4,7,0.2677,0.5916965936678641,0.5682257253084535,0.6145244081840202,1.0,0.9367332128719328,0.8526334810370013,0.8182006887377034,0.7203128472063077,0.8900635180030914,0.6911285109715882,0.9392304492821152,0.7781886459650088,0.9828187958202076,0.0609253790906035,0.9494668177620352,0.6798708270374113,1,1,2,0,1,0.215,0.0034,95.76,0.3318269787551574
886,IDN-ZAF,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,Mobile Wallet,Online Portal,1-2 days,Medium,ATM,2022-10-04,547,11.43,GBP,4.79,5.6009,0.0185,0.0273,563,171.52,AUD,6.02,43.9559,0.0125,0.0232,0.003,Opaque,Prefer local bank transfer where possible,,0.942,0.057,0.326,5,1,0.2789,0.4769763335080906,0.3624907089526371,0.3632041788719419,0.5762057204743349,0.3248669931892296,0.454389727756648,0.4925606310222472,0.4124005256960971,0.2959058608287841,0.6003516920969697,0.3146081737591687,0.5950662466358962,0.4958078726709966,0.3218933452475578,0.2094127481550615,0.2457402214532347,1,0,2,2,1,0.149,0.0062,47.96,0.8716048790883241
887,ARG-CHN,ARG,Argentina,Latin America & Caribbean,Upper middle income,Medium,G8G20,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Card Transfer,Bank Branch,3-7 days,Medium,ATM,2023-11-18,369,8.11,NGN,2.73,20.6046,0.01,0.0174,358,9.32,ZAR,4.37,73.7121,0.0045,0.0167,0.0113,Opaque,Prefer local bank transfer where possible,,0.28,0.104,0.854,4,3,0.2438,0.7290331670993969,0.374755301444363,0.3572249318751503,0.521403065594621,0.6730392546346722,0.821067008837853,0.617768090208357,0.4770113022322553,0.5873667925235713,0.6063515779953281,0.7229487786604326,0.5986416550458387,0.3153896663298221,0.4601139186927598,0.7704325302320956,0.572448272557192,1,1,4,2,1,0.084,0.0064,65.2,0.5200713822391156
888,ZAF-GBR,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,GBR,United Kingdom,Europe,High income,High,G8G20,Bank Transfer,Mobile App,Instant,Very High,Branch,2025-03-06,1176,16.35,AUD,16.58,71.1797,0.0137,0.0278,1124,18.07,USD,9.4,43.4748,0.013,0.0214,0.0114,Transparent,Standard corridor - no special restrictions,,0.297,0.088,0.411,2,1,0.1662,0.3112973457071532,0.5341802258048769,0.2143860041157261,0.3529582239544391,0.4665310086208844,0.3770346996046445,0.4520915387481918,0.3274767282293881,0.182078834265695,0.3717773458254867,0.3105977850184558,0.4398738150116066,0.5148962988980131,0.5837227836731266,0.2594220244034816,0.3347614624154023,0,0,4,2,1,0.204,0.0132,120.9,0.6068849491055529
889,IND-UKR,IND,India,South Asia,Lower middle income,High,No,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,Mobile Wallet,Agent Network,Same day,High,ATM,2021-06-22,634,12.86,KES,7.26,61.5639,0.0142,0.0257,656,98.75,NGN,8.76,29.5061,0.0119,0.0253,0.0239,Transparent,Prefer local bank transfer where possible,,0.384,0.03,0.092,6,5,0.1207,0.2501634670305762,0.4713410803157763,0.3322413502972575,0.5851715901997487,0.5895587514812806,0.4116303394622316,0.5258730881567708,0.3028116309004585,0.3540748262198201,0.3066278964379625,0.561974715181965,0.5919585932051493,0.4458377848629372,0.4393676078457573,0.5107640124682875,0.4161507106801652,0,1,4,0,1,0.201,0.0125,49.43,0.7208785796830771
890,ZAF-CHN,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Bank Transfer,Online Portal,2-5 days,Low,Branch,2025-02-08,572,17.38,CNY,3.96,79.8117,0.0171,0.024,581,8.59,NGN,4.98,40.9503,0.02,0.0286,0.0059,Transparent,Requires documentation for large amounts,,0.217,0.079,0.439,7,3,0.1575,0.2132856608947678,0.6041165823299799,0.5665292992038109,0.3519344476023958,0.4055162501740581,0.503489398349845,0.5060975402220205,0.3257664717496377,0.1999969213294875,0.3866841428899732,0.5361723845810654,0.5070985377646556,0.3919151326825049,0.5825338178034292,0.5192802447407534,0.3579018197079102,1,1,3,2,2,0.211,0.0099,73.15,0.7830444296699489
891,PHL-ZAF,PHL,Philippines,East Asia & Pacific,Lower middle income,Medium,No,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,Mobile Wallet,Correspondent Bank,1-2 days,High,Agent,2024-08-16,908,180.61,PHP,8.88,32.1305,0.0215,0.0313,863,10.9,ZAR,6.86,31.2528,0.0127,0.0206,0.0183,Transparent,Standard corridor - no special restrictions,,0.643,0.059,0.443,4,2,0.2432,0.2942092382762335,0.3783215941545134,0.1404837161030021,0.3581309810985753,0.5326123823849602,0.4707739626567076,0.6224797007577423,0.3184430103181154,0.4084775795663979,0.4451288211566926,0.7511428409944889,0.4373718589341168,0.2246975385363172,0.4482485495973662,0.6238872827162147,0.3112941547728054,1,0,4,2,2,0.029,0.0042,7.85,0.7484578617436837
892,NGA-DEU,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,DEU,Germany,Europe,High income,High,G8G20,Bank Transfer,Bank Branch,2-5 days,Medium,ATM,2024-12-03,7872,1055.99,PHP,94.54,8.3792,0.0113,0.0233,7686,106.4,USD,113.01,45.6921,0.0042,0.0189,0.0008,Transparent,Prefer local bank transfer where possible,,0.614,0.064,0.384,7,3,0.2207,0.4509297846327699,0.5474473666274704,0.4720478652764184,0.3950670226968293,0.3661831490144224,0.4202464542383697,0.4950320544653156,0.4589867028910074,0.3900734057598847,0.3044110440151307,0.5366455587379723,0.5232102081291384,0.3955532067697376,0.650342453744599,0.3782312758339372,0.463738493169496,0,0,1,0,2,0.242,0.0076,111.37,0.7108728837328757
893,CAN-DEU,CAN,Canada,North America,High income,High,G8G20,DEU,Germany,Europe,High income,High,G8G20,Bank Transfer,Agent Network,2-5 days,Medium,Agent,2022-08-13,3473,67.22,GBP,46.99,21.0941,0.0003,0.0138,3335,607.87,NGN,35.49,29.9792,0.0124,0.023,0.0163,Transparent,Prefer local bank transfer where possible,,0.448,0.052,0.275,1,1,0.163,0.5840378629506632,0.548818637313061,0.9309699420172824,0.8413698306026256,0.9228076003024128,0.7007819631647533,0.9285033676159844,0.7830298425082037,0.5598806906581923,0.9209140097128627,0.8890419988342475,0.7724699240704878,0.7046412304817739,0.3918266286518852,0.8712003919557636,0.781422864869487,1,1,2,1,1,0.24,0.0109,65.57,0.3780009627506985
894,BRA-TUR,BRA,Brazil,Latin America & Caribbean,Upper middle income,Medium,G8G20,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,Remittance Service,Correspondent Bank,2-5 days,Medium,Home Delivery,2021-12-08,912,22.01,GBP,6.68,38.7932,0.0077,0.015,946,20.63,EUR,9.59,14.6093,0.0136,0.0237,0.0018,Transparent,Standard corridor - no special restrictions,,0.96,0.103,0.509,3,3,0.3132,0.5267103841200287,0.7534182248942007,0.3839369177204985,0.5083873028358863,0.5479990094287537,0.5965446024274137,0.6480964030308668,0.6016016228573626,0.508363185627386,0.4447173117814128,0.8723208339724533,0.9093968230146284,0.567194400625843,0.440813644042504,0.7770544957250753,0.3763891472405842,1,1,4,1,3,0.089,0.0094,81.18,0.5903154708534808
895,UKR-RUS,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Bank Transfer,Bank Branch,Instant,High,Mobile Wallet,2021-12-16,1617,95.64,INR,19.11,47.0521,0.0083,0.0201,1570,49.02,EUR,13.42,9.8978,0.0124,0.0209,0.0085,Opaque,Standard corridor - no special restrictions,,0.83,0.094,0.559,1,1,0.2983,0.3098272010354206,0.3164659538384438,0.2108557339459413,0.3463970920493877,0.3462993504991242,0.4315185356978385,0.4432612601206956,0.2754401931773624,0.3055383972087356,0.3222981238515547,0.5671815273343312,0.4021884718722977,0.4489642088943316,0.4797024419734413,0.468583683628089,0.5165415164415168,1,0,4,2,2,0.016,0.0025,21.63,0.8158590789245033
896,JPN-MEX,JPN,Japan,East Asia & Pacific,High income,High,G8G20,MEX,Mexico,Latin America & Caribbean,Upper middle income,Medium,G8G20,Mobile Wallet,Online Portal,3-7 days,High,Branch,2022-04-13,2346,217.28,INR,26.83,17.529,0.0133,0.0247,2309,29.85,INR,37.36,22.8579,0.0144,0.0306,0.0145,Transparent,High AML checks required,,0.252,0.104,0.609,3,2,0.1999,0.6156730944304909,0.7432180272431465,0.9615958560359484,0.749122019929288,0.5121851572112981,0.8056437988222537,0.85619274361959,0.4359464259082547,0.9100722767865538,0.6643545043361277,0.9094275738225018,0.7928822145587126,0.595397829695515,0.2784609761562504,0.6877900596286944,0.8802806291020365,1,1,3,1,3,0.042,0.013,148.8,0.3278451865107571
897,CHE-DEU,CHE,Switzerland,Europe,High income,High,No,DEU,Germany,Europe,High income,High,G8G20,Bank Transfer,Agent Network,2-5 days,High,Agent,2023-01-17,6688,304.48,PHP,75.73,30.3089,0.0081,0.0194,6719,119.22,CNY,94.15,84.9936,0.0006,0.0146,0.002,Opaque,High AML checks required,,0.408,0.083,0.651,8,1,0.2288,0.7322954174279818,0.7373761380137904,0.6378469304891723,0.9235380265831352,1.0,0.9721692678448016,0.8990924806985,0.7847796050244854,0.6040874618428919,0.7205017047946731,0.7879367755984276,0.6009385469218349,0.8768452102998439,0.233499593567073,0.9435130288922368,0.8558095680912015,0,1,3,1,3,0.248,0.0015,48.86,0.22994583036197747
898,SWE-JPN,SWE,Sweden,Europe,High income,High,No,JPN,Japan,East Asia & Pacific,High income,High,G8G20,Bank Transfer,Agent Network,3-7 days,High,Branch,2025-01-31,7165,146.54,AUD,67.95,39.769,0.0053,0.0148,7507,137.99,KES,71.59,48.275,0.0116,0.0211,0.0082,Transparent,Prefer local bank transfer where possible,,0.593,0.097,0.371,1,1,0.2108,0.8168061571960102,0.8735460886115821,0.6761623341511551,1.0,0.8551750517143659,0.8662318022142445,0.7621108399720032,0.6382601687067648,0.8072755210571307,0.7761016195126542,0.7752777160916907,0.6473887937469516,0.5976092295206943,0.0064639539490671,0.7264095422419915,0.7093309745188999,1,1,2,1,1,0.141,0.0076,97.07,0.26760564237199874
899,AUS-POL,AUS,Australia,Oceania,High income,High,G8G20,POL,Poland,Europe,High income,Medium,No,Bank Transfer,Mobile App,1-2 days,Low,Agent,2022-02-01,2674,166.94,AUD,30.53,12.6085,0.0064,0.0178,2735,133.24,ZAR,38.49,33.9022,0.0031,0.0172,0.0036,Transparent,Standard corridor - no special restrictions,,0.346,0.04,0.67,7,5,0.2207,0.9240408310510876,0.6653419326216303,0.6627606209139532,0.6877479805727169,1.0,1.0,0.9301875870482604,0.8440061668985088,0.6803573996576723,0.983679418428514,0.9021235505230394,0.9223732317339688,0.7373370073474855,0.1821639104793133,0.999565071151534,0.8147668415685968,1,1,1,1,1,0.089,0.0142,89.28,0.3947810759810028
900,KEN-UKR,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,Mobile Wallet,Correspondent Bank,3-7 days,High,Mobile Wallet,2022-11-10,857,19.58,PHP,8.81,5.1805,0.0082,0.0185,867,15.78,EUR,11.34,77.4867,0.009,0.0221,0.0059,Transparent,High AML checks required,,0.741,0.094,0.43,7,1,0.2545,0.5241650553284458,0.4306393806094053,0.2481960156292291,0.3099988480545814,0.4623558290957532,0.3548199740748008,0.3071046309646771,0.4941700438144429,0.2846155915011785,0.3665831297349584,0.5055360307862725,0.3494216249615317,0.5240959359570487,0.6840570113445535,0.4313950316296924,0.37953412476519,0,1,2,2,1,0.072,0.0004,118.84,0.5519677194815317
901,AUS-KEN,AUS,Australia,Oceania,High income,High,G8G20,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Bank Transfer,Bank Branch,2-5 days,High,Home Delivery,2024-03-06,3269,43.92,AUD,39.26,10.4631,0.0115,0.0235,3163,57.79,USD,32.32,45.3241,0.0106,0.0208,0.0068,Transparent,Requires documentation for large amounts,,0.527,0.072,0.556,6,2,0.2388,0.7434894476563022,0.6443704864073622,0.8544981062236157,0.8692212804401516,0.768931776569054,0.9148984648646434,0.884988922356093,0.5963265425566671,0.6475285302514371,0.8865937733867495,0.907129942217046,0.752283646502725,0.6469828930592829,0.2118472557738505,0.7466624564146755,0.6484844360844898,1,1,4,1,2,0.064,0.0114,47.61,0.29424079706474815
902,DEU-IND,DEU,Germany,Europe,High income,High,G8G20,IND,India,South Asia,Lower middle income,High,No,Mobile Wallet,Mobile App,2-5 days,Medium,Home Delivery,2022-09-14,5882,242.6,CNY,54.76,2.9098,0.0052,0.0145,5712,163.75,AUD,50.34,50.2756,0.0114,0.0202,0.0044,Transparent,Correspondent path uses two intermediaries,,0.364,0.049,0.632,8,3,0.2166,0.5409883065140038,0.9368015943680944,0.8664760407133731,0.6272093457831769,0.8663573554676401,0.7217314156742279,0.8086119332128158,0.7086280104151612,0.6986598941138553,0.9903536500891544,0.8171609178388571,0.7230083409919691,0.6584902284603542,0.0247467652317894,0.6017477201968479,0.6584852500277376,1,1,1,1,1,0.166,0.0067,114.61,0.2027993425207167
903,GBR-NOR,GBR,United Kingdom,Europe,High income,High,G8G20,NOR,Norway,Europe,High income,High,No,Bank Transfer,Online Portal,Same day,Medium,Home Delivery,2021-01-11,1036,16.84,AUD,9.86,6.5209,0.0189,0.0284,1025,57.68,USD,10.6,64.6432,0.0127,0.023,0.0065,Transparent,High AML checks required,,0.15,0.047,0.261,7,2,0.1079,0.923618740813384,0.8292783425597177,0.7730306406043336,1.0,0.8795617543538198,0.74501766063685,0.8061507531748381,0.6137481229163317,0.9007124448018836,0.8189474061044059,1.0,0.9655580714259244,0.7002947062886961,0.2633703422410668,0.7937944266430346,0.6452686715053754,1,1,1,0,2,0.105,0.0002,60.46,0.2534493787521781
904,IDN-SWE,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,SWE,Sweden,Europe,High income,High,No,Bank Transfer,Agent Network,1-2 days,Very High,Branch,2024-12-31,4771,146.39,PHP,54.19,56.8409,0.0112,0.0226,4757,76.18,PHP,42.06,8.5836,0.013,0.0218,0.0096,Transparent,Standard corridor - no special restrictions,,0.268,0.054,0.567,5,1,0.1892,0.3697948250490829,0.5358516257001626,0.3298232424740999,0.3979994107889287,0.4387385260531959,0.5263273086925238,0.3598661126854051,0.0864264486028281,0.4065042631250457,0.4685401305569592,0.5235649093710243,0.3431723405438383,0.2137985482176717,0.4906602961863615,0.4169774743521608,0.3349048846810004,1,0,1,2,2,0.241,0.0038,64.62,0.8034142235128758
905,IRL-ZAF,IRL,Ireland,Europe,High income,High,No,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,Mobile Wallet,Bank Branch,1-2 days,Low,Agent,2023-05-16,681,69.46,NGN,8.58,1.857,0.0084,0.021,685,122.58,GBP,5.87,12.0112,0.0148,0.0234,0.0021,Opaque,Requires documentation for large amounts,,0.491,0.134,0.575,7,0,0.2354,0.9686956011592548,0.6863839886982402,0.9630044425352958,0.7838140685844768,0.629731542775495,0.808495681481703,0.9551395291919328,0.7061933960634035,0.5730265750513927,0.7302582561844596,0.7671393151329953,0.8790177281305556,0.8428079779281133,0.2767524489297728,0.7153035133861221,0.8407970958128326,1,1,1,0,2,0.171,0.0188,102.54,0.2729318881623884
906,UKR-KEN,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Remittance Service,Correspondent Bank,1-2 days,High,ATM,2022-05-28,614,33.18,NGN,7.36,54.8117,0.0112,0.0232,585,7.34,AUD,7.12,21.8647,0.0081,0.0203,0.0213,Transparent,Correspondent path uses two intermediaries,,0.42,0.023,0.328,3,1,0.1714,0.2469386866041248,0.2701410237006406,0.2085570641844494,0.4222446335549744,0.4870989263420957,0.347914476354515,0.440610247535388,0.5332558860986156,0.2331127811698133,0.115790886918746,0.5246090690864444,0.4067518603318094,0.2647969895821878,0.471750371517411,0.5007070173602548,0.0850066376143888,0,1,2,0,2,0.198,0.0104,118.72,0.6555723857787379
907,VNM-ZAF,VNM,Vietnam,East Asia & Pacific,Lower middle income,Medium,No,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,Bank Transfer,Bank Branch,1-2 days,Very High,Mobile Wallet,2021-07-16,2335,36.49,KES,22.58,39.2474,0.0127,0.0224,2255,130.86,PHP,20.02,31.4281,0.0119,0.0208,0.0026,Transparent,Requires documentation for large amounts,,0.677,0.02,0.01,3,0,0.159,0.2716882508802214,0.6781019477436225,0.4200085898957829,0.4611324365956579,0.5907473134357774,0.4320482590239671,0.5356020992109943,0.4361674452604642,0.414684979610331,0.3113585635259114,0.490647070683951,0.3493966122831866,0.3515377165479794,0.690218907051912,0.3051251210472456,0.3161225549690084,0,1,3,2,1,0.073,0.0199,101.7,0.4868172630824097
908,RUS-ESP,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,ESP,Spain,Europe,High income,High,G8G20,Bank Transfer,Agent Network,2-5 days,High,Agent,2021-02-24,499,42.6,ZAR,4.36,5.0137,0.0086,0.0173,504,8.78,ZAR,8.52,60.745,0.0057,0.0226,0.0122,Transparent,Prefer local bank transfer where possible,,0.408,0.046,0.426,7,1,0.1868,0.4367553482283909,0.5393979275105789,0.5303288827893381,0.6282714813597253,0.7639108762223491,0.574345875434627,0.8002125540722349,0.6626333294350593,0.610491259833273,0.5684378955155943,0.708294501024225,0.7624461380799659,0.6968295591711129,0.1898063925939628,0.6049592198252405,0.6165960597998336,1,1,3,1,2,0.02,0.0105,135.48,0.5395504279232665
909,CHE-CHN,CHE,Switzerland,Europe,High income,High,No,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Mobile Wallet,Agent Network,Instant,High,ATM,2022-08-24,2772,131.91,NGN,12.93,6.6651,0.0054,0.0101,2759,259.07,EUR,42.01,68.3153,0.0174,0.0326,0.011,Transparent,Prefer local bank transfer where possible,,0.456,0.07,0.433,1,7,0.1992,0.911225580794646,0.7251540758100329,0.7117899775538036,0.7819243995616174,0.9579518485575288,0.9398206580862348,0.8122963066562477,0.5689668654744349,0.7795420733155161,0.6398020635205919,0.6912076554431733,0.6683354127119541,0.7891657209414673,0.0,0.8046673419483493,0.7753656785575158,1,1,4,0,1,0.122,0.0109,46.35,0.327458101736929
910,CHN-CAN,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,CAN,Canada,North America,High income,High,G8G20,Cash Pickup,Online Portal,Instant,Very High,Home Delivery,2024-08-23,3808,145.42,KES,71.09,50.2875,0.0093,0.028,3893,62.8,INR,78.88,15.4449,0.0051,0.0254,0.0033,Transparent,High AML checks required,,0.418,0.064,0.451,2,1,0.2005,0.6919473926653511,0.4146654109099735,0.6124211705920326,0.5786092258817416,0.7179268950598481,0.571981930991542,0.5418475251488222,0.5668610685142726,0.7479029588001355,0.6533092125449755,0.6090768675783891,0.4590833556822465,0.3481519259562657,0.1920680657779422,0.4853901254237008,0.5109383904406076,0,1,3,2,1,0.079,0.0078,135.59,0.7095905667966552
911,SAU-DEU,SAU,Saudi Arabia,Middle East & North Africa,High income,High,G8G20,DEU,Germany,Europe,High income,High,G8G20,Card Transfer,Correspondent Bank,2-5 days,Medium,Branch,2025-02-23,1618,672.02,INR,21.86,42.2925,0.0024,0.0159,1628,246.26,USD,21.5,68.0908,0.0043,0.0175,0.0018,Opaque,Prefer local bank transfer where possible,,0.364,0.061,0.292,1,7,0.1479,0.7085453351293092,0.4063318253425211,0.7290717411370071,0.5495631455328999,0.5121700021713513,0.6003178887421304,0.5532883862318227,0.6028983758686859,0.4722241079334667,0.3206029346897149,0.6435324958709213,0.4572145937256154,0.5745183860785984,0.4924556398739989,0.5414384636193498,0.5719105365057204,0,1,3,1,2,0.051,0.0062,23.98,0.4130666118056399
912,TUR-CHN,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Mobile Wallet,Online Portal,1-2 days,Very High,Agent,2023-09-21,8584,619.95,EUR,34.62,15.7508,0.0102,0.0142,8799,525.19,CNY,59.09,43.7494,0.02,0.0267,0.0182,Transparent,Standard corridor - no special restrictions,,0.35,0.022,0.513,4,1,0.193,0.5245049529958877,0.6300516339601254,0.6316344598861309,0.4410479560322433,0.642272295125035,0.2304595442990245,0.6696799962019029,0.5139023043550189,0.4319860283826435,0.5878863306755829,0.8107237092622082,0.562877870288127,0.4366222611709936,0.3301969685073546,0.4397272000024368,0.4707542355357353,1,1,3,2,1,0.238,0.005,100.63,0.4762980393196727
913,GBR-IND,GBR,United Kingdom,Europe,High income,High,G8G20,IND,India,South Asia,Lower middle income,High,No,Bank Transfer,Bank Branch,2-5 days,Medium,Agent,2023-06-28,3173,842.81,USD,34.82,6.545,0.0044,0.0154,3098,171.25,KES,24.99,17.0472,0.0099,0.018,0.007,Transparent,Prefer local bank transfer where possible,,0.464,0.09,0.124,7,2,0.1343,0.8966882593980603,0.8074615075774746,0.52446396432646,0.5643610023264719,0.8694502831176131,0.9334868691101224,0.645885424964862,0.8039655128995811,0.9096412208987664,0.9765430785550366,0.9097467311831852,0.880816311346297,0.4940178686846227,0.0,0.7309411744284655,0.637983460988995,1,0,3,0,3,0.111,0.0069,84.41,0.27992604204529065
914,MAR-DEU,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,DEU,Germany,Europe,High income,High,G8G20,Bank Transfer,Online Portal,3-7 days,Very High,ATM,2024-09-09,1125,17.08,PHP,12.38,78.9272,0.0112,0.0222,1096,32.05,CNY,12.09,28.3332,0.012,0.023,0.0072,Opaque,Requires documentation for large amounts,,0.333,0.092,0.641,2,0,0.2174,0.319375263867245,0.5814008097022517,0.6149655257052258,0.3950490415371013,0.5697701007124386,0.4351844858422604,0.3154645432378178,0.5272092404945948,0.2753447023572333,0.5342636928046258,0.62582495957229,0.4936843516748649,0.5694769707505223,0.2821184760177114,0.3789707964442826,0.2529447057900282,1,1,4,1,1,0.044,0.0092,76.72,0.839294393571617
